tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VEC;CG;30102020;30102020;EUR;100772010;CAJAS REGALO LA VIDA ES BELLA 10/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2014;0;;CAJAS REGALO LA VIDA ES BELLA - K14;10077102020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 10;100772010;;;; 
 1;VEC;CG;30102020;30102020;EUR;100772010;CAJAS REGALO PLAN B 10/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1416;0;;CAJAS REGALO PLAN B - E16;10077102020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 10;100772010;;;; 
 1;VEC;CG;30102020;30102020;EUR;100772010;PEPEPHONE 10/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1258;0;;PEPEPHONE - C58;10077102020;;;; 
 2;;;;;;;;;D;;;;;1318;0;;PEPEPHONE - D18;10077102020;;;; 
 2;;;;;;;;;D;;;;;1415;0;;PEPEPHONE - E15;10077102020;;;; 
 2;;;;;;;;;D;;;;;1416;0;;PEPEPHONE - E16;10077102020;;;; 
 2;;;;;;;;;D;;;;;1482;0;;PEPEPHONE - E82;10077102020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 10;100772010;;;; 
 
